,title,description,video_id,epilepsy_mentioned
128,Two Feet - Love Is A Bitch [Bass Boosted],"Now playing: Two Feet - Love Is A Bitch [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",hRMaW2TCdaM,True
136,PINK GUY - セックス大好き I LOVE SEX (Explicit) [Bass Boosted],"Now playing: PINK GUY - セックス大好き I LOVE SEX (Explicit) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright).",610ZQiRnYww,True
137,Drake - God's Plan (Jersey Club Remix) [Bass Boosted] #FREEKILLMUSIC #GRIZZY,"Now playing: Drake - God's Plan (Jersey Club Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",cpkr7GCMgTg,True
138,"Wizard - ""Why"" [Bass Boosted]",Wizard - Why (BASS BOOSTED) USE HEADPHONES FOR BETTER EXPERIENCE. WARNING!!!! This video has been identified by epilepsy action to potentially ...,b4WuWCzT0E8,True
139,TriBoss - Aqua Drop [Bass Boosted],TriBoss - Aqua Drop [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,-2GJHjqZ3tg,True
140,SOUNDING - HOLY SPUNK (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,ruRGtiw3ybo,True
141,BTS (방탄소년단) - No More Dream [Bass Boosted],"Now playing: BTS (방탄소년단) - No More Dream [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",Idyd6GmKfF0,True
142,SOUNDING - FLUFFERS (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,likBs4awMRY,True
144,SOUNDING - THIRD EYE MONEY SHOT (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,kbAmzG6R7AE,True
146,AWOLNATION - Sail (Tobianas_sk Bass Boost) [Trap Nation layout],"Now playing: AWOLNATION - Sail (Tobianas_sk Bass Boost) Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",NK7jg7VYny0,True
148,Lil Wayne - A Milli (Y2K Remix) [Bass Boosted],"Thanks for watching All rights reserved to the artists. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY ...",7L7buFhzekc,True
