,title,description,video_id,epilepsy_mentioned
311,Zelda - Song of Storms (Deon Custom Remix) [Bass Boosted],Zelda - Song of Storms (Deon Custom Remix) [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY ...,CwTkWeBigdM,True
312,ULTRA BASS TEST!?!?!?,Thank you for 10.000 views and 70 subs :D ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,M8aJSQQxwPM,True
313,NeroArgento - Soldiers Of Afterlife (Official video),Warning: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,TenW4Gq2kgk,True
314,TEST YOU SUBWOOFER ⚠️EPILEPSY WARNING⚠️,"Now playing: rkm - Vicious w/SKYPIERR [Bass Boosted] Test your subwoofer/headphones wiht this bass boosted song. Show more (epilepsy warning, credits ...",r6gik93sxH4,True
315,SOUNDING - GONZO AT THE BOHEMIAN GROVE (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,SDnyJ-0Vgg0,True
316,"GOTA.IO // IMPOSSIBLE DOUBLECANNON-POPSPLIT // Popsplit, One piece pushsplits // - Tgi☀️",WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,jawf8Aa95Q8,True
317,"Hayko Cepkin - Zaman Geçti , Aldırma Gönül , Bertaraf Et , Fırtınam ( 30 Ağustos Zafer Bayramı )",UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,0QCr3h0WVmw,True
318,Nelly - Here Comes The Boom (Dekku Remix) [Bass Boosted],Now playing: Nelly - Here Comes The Boom (Dekku Remix) [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy ...,6BxviXKNP8g,True
319,Fukkit - 30 [Bass Boosted],"Now playing: Fukkit - 30 [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN ...",RTQUgaagkog,True
320,"THUTMOSE PERFORMANCE || LOS ANGELES, CA",WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,oJ4q4PhVkuY,True
321,One hand GIF,THIS GIF HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE EPILEPSY. VIEWER ...,v4MBbQfmKMU,True
322,BÖ & DEFOX - Jinaa,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. - UYARI: Bu video ışığa ...,OHTFbcnJVXo,True
330,PINK GUY - セックス大好き I LOVE SEX (Explicit) [Bass Boosted],"Now playing: PINK GUY - セックス大好き I LOVE SEX (Explicit) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright).",610ZQiRnYww,True
331,Ayberk S. - Sedution,Warning! This video has been identified by epilepsy action to potentially trigger seizures for people with sound sensitive epilepsy.. Viewer discretion is advised.,oyn3q5ueJiw,True
332,𝓐𝓷𝓭𝓻𝓸𝓶𝓮𝓭𝓪,Warning: This video has been identified by Epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. Viewer Discretion is advised.,-GwF6gp9K4c,True
333,TEST YOU SUBWOOFER ⚠️EPILEPSY WARNING⚠️,"Now playing: rkm - Vicious w/SKYPIERR [Bass Boosted] Test your subwoofer/headphones wiht this bass boosted song. Show more (epilepsy warning, credits ...",r6gik93sxH4,True
334,Nick Teeth - The Hatch,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised ...,KReNG41MNFE,True
335,FE - Me and the devil (Release),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy.,2br981x0WMc,True
336,Tanner Fox - Blood Stains (Official Music Video),Tanner Fox - Blood Stains (Official Music Video) LISTEN AND DOWNLOAD ON: https://fanlink.to/bloodstains this video has been identified by epilepsy action to ...,e2EL4VxXehs,True
338,SIKMIL - PURGATORY,Spooky track for Halloween ! - (WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive ...,UEDc_h0rP-M,True
339,Tanner Fox - Blood Stains - YouTube Music Videos,Click here for more popular videos: http://YTmusicvideos.com Note: This video has been identified by epilepsy action to potentially trigger seizures for people ...,AddLaXQZTrw,True
340,Goodleaf - Invaders Live @ BMDM 2018 Highlights,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,7gUD2Jd6L3M,True
343,Legendary from the silver chest. | Clash Royale EP. ½ | NuKe,Warning. This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. Viewer direction is adwised.,FWsBqDutAsM,True
344,"THUTMOSE PERFORMANCE || LOS ANGELES, CA",WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,oJ4q4PhVkuY,True
345,INTRO- Preston [WARNING IN DESCRIPTION],WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,yIWVAWUaE8I,True
346,One hand GIF,THIS GIF HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE EPILEPSY. VIEWER ...,v4MBbQfmKMU,True
347,The Scenario Official Promo Video #Mr Cinemas ©2018,Find out what's inside in this promo video There is a suprise waiting for you inside to watch Warning:- This Video has been identified by epilepsy action to ...,rEipGe8UpxI,True
348,Nelly - Here Comes The Boom (Dekku Remix) [Bass Boosted],Now playing: Nelly - Here Comes The Boom (Dekku Remix) [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy ...,6BxviXKNP8g,True
350,Yung Gravy - Cheryl [Bass Boosted],"Now playing: Yung Gravy - Cheryl [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS ...",K72dZrHfVY4,True
351,Metrotravis.mp4,Warning: This Video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. Viewer Discretion is Advised.,8VjeJqiP17k,True
352,Snail's House - I Secretly Love U [Bass Boosted],"Now playing: Snail's House - I Secretly Love U [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",WIkS3e9JgsI,True
353,SOPHIE — Faceshopping Refix,This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy.,b26YsjiHHw8,True
355,DROELOE - Lilypads [Bass Boosted] (This 'BASS WAVEFORM' make you crazy 😱😱😱😎),DROELOE - Lilypads [BASS BOOSTED] (This 'BASS WAVEFORM' make you crazy ) WARNING!!! This video has been identified by epilepsy action to ...,CP6nWY6Urng,True
356,#Highlights,WARNING! This Video has been identified by EPILEPSY action to potentially trigger seizures for people with PHOTOSENSITIVE EPILEPSY.,VdfpY3Aqqcw,True
357,XXXTENTACION - R.I.P Roach ft. $ki Mask [Bass Boosted],"Now playing: XXXTENTACION - R.I.P Roach ft. $ki Mask [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: ...",kj5PRcIxMK8,True
358,Sweepz - Apollo [Bass Boosted],Sweepz - Apollo [BASS BOOSTED] USE HEADPHONES FOR BETTER EXPERIENCE. WARNING!!!! This video has been identified by epilepsy action to ...,6ULCVn-4dTw,True
359,WE DID ONE-HUNDRED TWENTY-FIVE OF YOU GUYS  S2 EP07 - NICOLAAS MIGLIORE,MEDICAL DISCLAIMER*** **MEDICAL DISCLAIMER** This video has been identified by epilepsy action to potentially trigger seizures for people with ...,qg4sOKjGGiQ,True
361,"MAKING MUSIC VIDEOS FOR XXXTENTACION, AND SKI MASK THE SLUMP GOD,!!!",WARING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,5BILKnnkixU,True
362,Matbow - Trap King [Bass Boosted],WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,PiWUOs3JR1c,True
363,"AWOLNATION - Sail (Decaf'd @ 31,34) [Bass Boosted]","Now playing: Awolnation - Sail (Decaf'd @ 31,34) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",TsZgAeT4DuU,True
365,EAR RAPE!!! Mario gotta go fast!,WARNING! This video has been identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,HfZ-cKQg6Ws,True
366,HUCCI x GameFace - The Leaves Are Brown [Bass Boosted],"Now playing: HUCCI x GameFace - The Leaves Are Brown [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright).",ABY-d7yfwPk,True
367,White Katana - Valkyrie,WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,nsrXxdGa5pM,True
368,Ape of Tomorrow,"Warning, This video has been identified by epilepsy action to potentially trigger seizures for people with Photosensitive Epilepsy. VIEWER DISCRETION IS ...",Q-ao2JbXTh0,True
370,Bazzi - Mine [Bass Boosted],"Now playing: Bazzi - Mine [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy warning, credits and copyright).",4p23xrgM0x4,True
371,HNKT - OVNI w ZLORD,WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,PMDcZXtVqhc,True
372,Fugees - Killing Me Softly With His Song [Bass Boosted],"Now playing: Fugees - Killing Me Softly With His Song [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",TbUTNFzIu4s,True
374,vowl. - advance,WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,gvzFFFCcmjU,True
375,Bonfire Anime Meme Mashup [Bass Boosted],"Now playing: elijah who - don't forget to feed your neopets [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",_LxpIVVxJfA,True
376,Snap! - The Power (Brillz  Willy Joy Remix) [Bass Boosted],WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,f9sVLqAlhos,True
377,Fukkit - 30 [Bass Boosted],"Now playing: Fukkit - 30 [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS BEEN ...",RTQUgaagkog,True
379,PROM 2018,WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES TO PEOPLE WITH PHOTOSENSITIVE ...,PNzjtMUszY8,True
380,REALM - Forgive [Bass Boosted],REALM - Forgive (BASS BOOSTED) USE HEADPHONES FOR BETTER EXPERIENCE. WARNING!!!! This video has been identified by epilepsy action to ...,AyfOzh3qeWQ,True
381,SOUNDING - THIRD EYE MONEY SHOT (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,kbAmzG6R7AE,True
382,SOUNDING - JESUS JUNKIES (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,IoA6i5yRPOk,True
383,Goodleaf - Invaders Live @ BMDM 2018 Highlights,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,7gUD2Jd6L3M,True
384,SOUNDING - GONZO AT THE BOHEMIAN GROVE (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,SDnyJ-0Vgg0,True
386,Yeah Yeah Yeahs - Heads Will Roll (JVH-C Remix) [Bass Boosted],Yeah Yeah Yeahs - Heads Will Roll (JVH-C Remix) [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...,SJNzkQHOGbU,True
387,EXTREME BASS TEST!!! EXTREME LOW BASS!!!,Inspired by Rainy Bass ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH ...,uPkWGL8R0q0,True
389,Yung Gravy - Cheryl [Bass Boosted],"Now playing: Yung Gravy - Cheryl [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO HAS ...",K72dZrHfVY4,True
391,Brinca - IVARR ft. Ma-Less ( Official Music Video ),WARNING This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy VIEWER DISCRETION IS ...,c_80LNune50,True
392,Snail's House - I Secretly Love U [Bass Boosted],"Now playing: Snail's House - I Secretly Love U [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",WIkS3e9JgsI,True
393,VICES - extasis [Bass Boosted],VICES - extasis [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR ...,XUt16eL8BZM,True
394,We Are Number One (Vylet Remix) (Bass Boosted) ''Remake'',Others wanted an remake (other Logo etc.) ⚠️WARNING⚠   ❗️THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER ...,UMc-D3Dvm5s,True
395,XXXTENTACION - R.I.P Roach ft. $ki Mask [Bass Boosted],"Now playing: XXXTENTACION - R.I.P Roach ft. $ki Mask [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright)... WARNING: ...",kj5PRcIxMK8,True
396,The Weeknd - Next (PM Remix) [Bass Boosted],"Now playing: The Weeknd - Next (PM Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",phsIjMDPR3s,True
397,Sir Mix-a-Lot - Baby Got Back (DJ Russticals Rebass) (44-48hz) [Bass Boosted],"Now playing: Sir Mix-a-Lot - Baby Got Back (DJ Russticals Rebass) (44-48hz) Thanks for watching. Show more (epilepsy warning, credits and copyright).",1qY1bPqmy2A,True
398,White Katana - Valkyrie,WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,nsrXxdGa5pM,True
399,BASS TEST!!!! (TroyBoi Edition),TroyBoi - Do You? [E.Y. Beats Edit] [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER ...,MFK3fRDQZBc,True
401,Hayko Cepkin - Muhteşem Giriş ve Sonrasımda Kuduruyoruz ( 30 Ağustos Zafer Bayramı ),UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,cll0rSbgB2Y,True
402,SIKMIL - PURGATORY,Spooky track for Halloween ! - (WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive ...,UEDc_h0rP-M,True
403,Tropkillaz - MAMBO [Bass Boosted],"Now playing: Tropkillaz - MAMBO [Bass Boosted] Happy new year everybody!! Show more (epilepsy warning, credits and copyright)... WARNING: THIS VIDEO ...",VMbzG9LyMYc,True
404,Mike Emilio - Clown (Bass Boosted),He did a great job! ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH ...,rPZ6Zg4NyPY,True
405,TriBoss - Aqua Drop Pt2 [Bass Boosted],TriBoss - Aqua Drop Pt2 [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,6CnSFcRbrJQ,True
407,vowl. - advance,WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,gvzFFFCcmjU,True
409,Russ - Too Many [Bass Boosted],Link to Official MusicVideo - https://www.youtube.com/watch?v=VbRZMZisILw WARNING ! ! ! This Video Has been Identified By Epilepsy action to Potentially...,WRudcgddcJQ,True
410,The Simpsons Theme Song Remix [Bass Boosted],️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENTIVE ...,Etm4O1dtfK4,True
411,One hand GIF,THIS GIF HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE EPILEPSY. VIEWER ...,v4MBbQfmKMU,True
413,"AWOLNATION - Sail (Decaf'd @ 31,34) [Bass Boosted]","Now playing: Awolnation - Sail (Decaf'd @ 31,34) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",TsZgAeT4DuU,True
414,Showtek - swipe (Dropwizz remix),WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,LcxiU02WDpM,True
415,TriBoss - Aqua Drop [Bass Boosted],TriBoss - Aqua Drop [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,-2GJHjqZ3tg,True
416,Wedgie In My Booty (Jersey Club) [Bass Boosted] @DJFlex,"Thanks for watching. All rights reserved to the artists. Show more (epilepsy warning, credits and copyright)... Request a song: ...",bZeMQXnGZYU,True
417,#Highlights,WARNING! This Video has been identified by EPILEPSY action to potentially trigger seizures for people with PHOTOSENSITIVE EPILEPSY.,VdfpY3Aqqcw,True
418,Echtzeit - Plexus,Warning: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,HsPbmyWOio4,True
419,THE TRACK,WARNING - This video has benn identified by epilepsy action to potentially trigger seizures for people with photosensitive epilepsy. #numb ...,Ijnt44G5eko,True
420,Fugees - Killing Me Softly With His Song [Bass Boosted],"Now playing: Fugees - Killing Me Softly With His Song [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",TbUTNFzIu4s,True
421,Jonas Gonçalves - Goal Machine | SL Benfica,"Song: Syn Cole - Feel Good https://www.youtube.com/watch?v=q1ULJ92aldE ""Warning: This video has been identified by Epilepsy Action to potentially trigger ...",zlAun8-W8oI,True
422,alasen - abyss [Bass Boosted],alasen - abyss [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR ...,VDvnUHueK-0,True
423,SOUNDING - KEEP IT ON THE ONE (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,OeTTzTnTKJw,True
424,Bazzi - Mine [Bass Boosted],"Now playing: Bazzi - Mine [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy warning, credits and copyright).",4p23xrgM0x4,True
425,The Ting Go Skrra (Juelz Remix) [Bass Boosted],"Thanks for watching. All rights reserved to the artists. Show more (epilepsy warning, credits and copyright)... Request a song: ...",Nwnodeoj8a4,True
426,Ape of Tomorrow,"Warning, This video has been identified by epilepsy action to potentially trigger seizures for people with Photosensitive Epilepsy. VIEWER DISCRETION IS ...",Q-ao2JbXTh0,True
428,30 Seconds To Mars - Up In The Air [Official Video Edit],"Thirty Seconds To Mars performing ""Up In The Air"" the short film by Bartholomew Cubbins. WARNING: This video has been identified by Epilepsy Action to ...",MWDHPvHbeB8,True
429,Cosmic Love - GOH! | Official Music Video,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,qNfvtzDyIFY,True
430,Mike Emilio - Clown (Bass Boosted),He did a great job! ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH ...,rPZ6Zg4NyPY,True
431,alasen - abyss [Bass Boosted],alasen - abyss [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR ...,VDvnUHueK-0,True
432,"AWOLNATION - Sail (Decaf'd @ 31,34) [Bass Boosted]","Now playing: Awolnation - Sail (Decaf'd @ 31,34) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: THIS ...",TsZgAeT4DuU,True
433,Hayko Cepkin - Muhteşem Giriş ve Sonrasımda Kuduruyoruz ( 30 Ağustos Zafer Bayramı ),UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,cll0rSbgB2Y,True
434,TriBoss - Aqua Drop Pt2 [Bass Boosted],TriBoss - Aqua Drop Pt2 [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES ...,6CnSFcRbrJQ,True
436,Wedgie In My Booty (Jersey Club) [Bass Boosted] @DJFlex,"Thanks for watching. All rights reserved to the artists. Show more (epilepsy warning, credits and copyright)... Request a song: ...",bZeMQXnGZYU,True
438,The Simpsons Theme Song Remix [Bass Boosted],️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENTIVE ...,Etm4O1dtfK4,True
440,Ape of Tomorrow,"Warning, This video has been identified by epilepsy action to potentially trigger seizures for people with Photosensitive Epilepsy. VIEWER DISCRETION IS ...",Q-ao2JbXTh0,True
441,Rey David - KINGDOM | Video Lyric | (Prod. ODK),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,rQqtJF0DjPs,True
442,New Steelo | SNK Try-Out video c: (Approved),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised I ...,dLu5LCt-DuQ,True
443,Fugees - Killing Me Softly With His Song [Bass Boosted],"Now playing: Fugees - Killing Me Softly With His Song [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",TbUTNFzIu4s,True
445,Inkyz - Jungle [Extreme BassBoosted],Link to Official Music - https://www.youtube.com/watch?v=CKLxRkwJ7Q8 WARNING ! ! ! This Video Has been Identified By Epilepsy action to Potentially...,jlPt-okCZA4,True
446,SOUNDING - FLUFFERS (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,likBs4awMRY,True
447,Bazzi - Mine [Bass Boosted],"Now playing: Bazzi - Mine [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy warning, credits and copyright).",4p23xrgM0x4,True
448,The Ting Go Skrra (Juelz Remix) [Bass Boosted],"Thanks for watching. All rights reserved to the artists. Show more (epilepsy warning, credits and copyright)... Request a song: ...",Nwnodeoj8a4,True
449,Snap! - The Power (Brillz  Willy Joy Remix) [Bass Boosted],WARNING: THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVE ...,f9sVLqAlhos,True
451,SHIVA,I wish it was longer :/ ♫ - Nobodies - Shiva I LOVE YOU ALL :D (WARNING) This video has been identified by epilepsy action to potentially trigger seizures for ...,EZFEqnYJO2E,True
452,BÖ - Witchcore 18+,UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,F_Z7-ekdAcY,True
453,Bonfire Anime Meme Mashup [Bass Boosted],"Now playing: elijah who - don't forget to feed your neopets [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",_LxpIVVxJfA,True
454,The Pink Panther Theme Song Remix [Bass Boosted],️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENTIVE ...,XRJByXAjsS0,True
455,Showtek - swipe (Dropwizz remix),WARNING THIS VIDEO HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO POTENTIALLY TRIGGER SEIZURES FOR PEOPLE WITH PHOTOSENSITIVY ...,LcxiU02WDpM,True
456,Zelda - Lost Woods (Goblins From Mars Trap Remix) [Bass Boosted],Zelda - Lost Woods (Goblins From Mars Trap Remix) [Bass Boosted]  ♫ ⚠️WARNING⚠   ❗️THIS HAS BEEN IDENTIFIED BY EPILEPSY ACTION TO ...,KmFX9Rv0Tck,True
458,MiyaGi & Эндшпиль - #ТАМАДА [Bass Boosted],"Now playing: MiyaGi & Эндшпиль - ТАМАДА [Bass Boosted] Request a song: https://goo.gl/forms/LsCcC4C1Qr0AkEbv1 Show more (epilepsy warning, credits, ...",gZiNyBl29Ik,True
462,Bö - Spell &  Video ( +18 ),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. - - - - - - - - - - - - - - - -video BÖ ...,e9Kqt0dSoCw,True
463,Kushmir-Fireflies,WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. Viewer discretion is advised.,P_UjLlK3SyI,True
464,Dj Baylo - Baby you should take it Slow [ExtremeBassBoosted],Link to Official Music - https://www.youtube.com/watch?v=hkyC9x5XP_s WARNING ! ! ! This Video Has been Identified By Epilepsy action to Potentially...,LDdwGLGpDTE,True
465,BÖ - Ma Spirit (Unofficial Video) 18+,UYARI: Bu video ışığa duyarlı epilepsi geçmişi olan kişiler için sakıncalı görüntüler içermektedir. WARNING: This video has been identified by Epilepsy Action to ...,m0C0FcqC9v0,True
466,SOUNDING - HOLY SPUNK (Official Music Video),WARNING: This video has been identified by Epilepsy Action to potentially trigger seizures for people with photosensitive epilepsy. VIEWER DISCRETION IS ...,ruRGtiw3ybo,True
467,Kraken Remix (Hotel Transylvania 3) [Bass Boosted],"Now playing: Kraken Remix (Hotel Transylvania 3) [Bass Boosted] Thanks for watching Show more (epilepsy warning, credits and copyright).",i_4feTNQa_A,True
468,Drake - God's Plan (Jersey Club Remix) [Bass Boosted] #FREEKILLMUSIC #GRIZZY,"Now playing: Drake - God's Plan (Jersey Club Remix) [Bass Boosted] Thanks for watching. Show more (epilepsy warning, credits and copyright)... WARNING: ...",cpkr7GCMgTg,True
